id,plate,startts,endts,startlng,startlat,my_id
OS5XL7QJ7SFPX,843583,7/26/18 14:10,7/26/18 14:15,-77.044981,38.91204,222986
BGKSPZIKI3PGQ,117110,7/26/18 14:10,7/26/18 14:15,-77.015362,38.88978,222987
4AL33DMIRRKZG,900098,7/26/18 14:10,7/26/18 14:15,-77.039655,38.889529,222988
FZ4HSPNBEYL3S,229116,7/26/18 14:10,7/26/18 14:15,-77.011044,38.888525,222989
DVMLTY5NMMEM6,206567,7/26/18 14:10,7/26/18 14:15,-77.028533,38.896136,222990
4Y4LUG7JQ63S2,511525,7/26/18 14:10,7/26/18 14:15,-77.011045,38.888535,222991
XPY72J5ERRJSZ,632091,7/26/18 14:10,7/26/18 14:15,-77.031657,38.944679,222992
ATMEZ7OENVLOU,529353,7/26/18 14:10,7/26/18 14:15,-76.988183,38.881273,222993
O57MSY4XTVWIQ,601523,7/26/18 14:15,7/26/18 14:20,-76.991011,38.878347,222994
BF262CR2SDMVD,178886,7/26/18 14:15,7/26/18 14:20,-76.996828,38.898968,222995
NEYX3SUKLYNCY,336432,7/26/18 14:10,7/26/18 14:15,-77.046018,38.888863,222996
3V4UKYDF47SLD,487557,7/26/18 14:10,7/26/18 14:15,-77.033261,38.897201,222997
4AL33DMIRRKZG,900098,7/26/18 14:15,7/26/18 14:20,-77.033687,38.890083,222998
RWDRN3EEHYOFW,511240,7/26/18 14:10,7/26/18 14:15,-76.979568,38.845531,222999
RWDRN3EEHYOFW,511240,7/26/18 14:15,7/26/18 14:20,-76.978288,38.846102,223000
WZICV6EYLL5L3,947449,7/26/18 14:10,7/26/18 14:15,-77.046826,38.903075,223001
4Y4LUG7JQ63S2,511525,7/26/18 14:15,7/26/18 14:20,-77.0059,38.887736,223002
GFKF24O4X3BI5,866938,7/26/18 14:15,7/26/18 14:20,-77.005951,38.887769,223003
35QJHOSKXULEI,899171,7/26/18 14:10,7/26/18 14:15,-77.044048,38.926118,223004
CQGSQUC4ICOWT,969618,7/26/18 14:15,7/26/18 14:20,-77.039338,38.892527,223005
ATACARIIA6OEC,625797,7/26/18 14:15,7/26/18 14:20,-77.057042,38.905874,223006
2DC7234HOXFSX,317653,7/26/18 14:15,7/26/18 14:20,-77.008347,38.891055,223007
5D2OMCUOW3L3A,158898,7/26/18 14:15,7/26/18 14:20,-77.032165,38.892088,223008
