id,plate,startts,endts,endlng,endlat,my_id
PMIXQ6224D7MQ,453855,7/26/18 19:40,7/26/18 19:45,-77.054763,38.915324,38413
PMIXQ6224D7MQ,453855,7/26/18 20:05,7/26/18 20:10,-77.046379,38.900577,38414
QGCMXW7P5Z5D3,827333,7/26/18 15:00,7/26/18 15:05,-77.063349,38.907172,39097
QGCMXW7P5Z5D3,827333,7/26/18 15:35,7/26/18 15:40,-77.055978,38.904498,39098
QGCMXW7P5Z5D3,827333,7/26/18 15:45,7/26/18 15:50,-77.043513,38.902603,39099
QGCMXW7P5Z5D3,827333,7/26/18 16:25,7/26/18 16:30,-76.997105,38.884981,39100
XKK32BRLBYUEU,933729,7/26/18 10:15,7/26/18 10:20,-77.03329,38.913233,40018
HB54PT56AO7EI,670682,7/26/18 11:55,7/26/18 12:00,-77.022011,38.8865,41038
HB54PT56AO7EI,670682,7/26/18 13:30,7/26/18 13:35,-77.016718,38.881313,41039
HB54PT56AO7EI,670682,7/26/18 14:10,7/26/18 14:15,-77.017463,38.885915,41040
HB54PT56AO7EI,670682,7/26/18 14:15,7/26/18 14:20,-77.016435,38.883787,41041
HB54PT56AO7EI,670682,7/26/18 15:55,7/26/18 16:00,-77.017707,38.885594,41042
HB54PT56AO7EI,670682,7/26/18 16:10,7/26/18 16:15,-77.027763,38.888855,41043
HB54PT56AO7EI,670682,7/26/18 16:55,7/26/18 17:00,-77.024052,38.893896,41044
DMKZNMF64GLQP,938151,7/26/18 15:40,7/26/18 16:05,-76.980664,38.846439,41462
G6COEZIP63KI4,562069,7/26/18 6:40,7/26/18 6:45,-77.062635,38.902292,41943
G6COEZIP63KI4,562069,7/26/18 8:10,7/26/18 8:15,-77.063522,38.902606,41944
G6COEZIP63KI4,562069,7/26/18 8:25,7/26/18 8:30,-77.062615,38.902221,41945
G6COEZIP63KI4,562069,7/26/18 9:10,7/26/18 9:15,-77.062585,38.902358,41946
G6COEZIP63KI4,562069,7/26/18 9:25,7/26/18 9:30,-77.063522,38.902606,41947
G6COEZIP63KI4,562069,7/26/18 13:55,7/26/18 14:00,-77.060219,38.902272,41948
G6COEZIP63KI4,562069,7/26/18 14:15,7/26/18 14:20,-77.059821,38.901109,41949
G6COEZIP63KI4,562069,7/26/18 14:20,7/26/18 14:25,-77.05825,38.900922,41950
MFCMMYZUGYXR7,163936,7/26/18 6:15,7/26/18 6:20,-77.007162,38.897458,42483
MFCMMYZUGYXR7,163936,7/26/18 7:15,7/26/18 7:20,-77.03012,38.887597,42484
MFCMMYZUGYXR7,163936,7/26/18 13:25,7/26/18 13:30,-77.021655,38.889387,42485
MFCMMYZUGYXR7,163936,7/26/18 13:55,7/26/18 14:00,-77.041701,38.8902,42486
MFCMMYZUGYXR7,163936,7/26/18 15:05,7/26/18 15:10,-77.022067,38.895772,42487
MFCMMYZUGYXR7,163936,7/26/18 15:10,7/26/18 17:05,-76.982407,38.920899,42488
NEYX3SUKLYNCY,336432,7/26/18 11:30,7/26/18 11:35,-77.026562,38.894426,42772
NEYX3SUKLYNCY,336432,7/26/18 12:25,7/26/18 12:30,-77.014812,38.888057,42773
NEYX3SUKLYNCY,336432,7/26/18 14:00,7/26/18 14:05,-77.048925,38.889098,42774
NEYX3SUKLYNCY,336432,7/26/18 14:05,7/26/18 14:10,-77.046018,38.888863,42775
NEYX3SUKLYNCY,336432,7/26/18 14:50,7/26/18 14:55,-76.999482,38.899117,42776
NEYX3SUKLYNCY,336432,7/26/18 15:00,7/26/18 15:05,-77.015027,38.890124,42777
NEYX3SUKLYNCY,336432,7/26/18 17:35,7/26/18 17:40,-77.019681,38.881242,42778
NEYX3SUKLYNCY,336432,7/26/18 18:40,7/26/18 18:45,-77.019203,38.879309,42779
SCZMLZMEEJKY5,835544,7/26/18 8:45,7/26/18 8:50,-77.017277,38.896233,44356
SCZMLZMEEJKY5,835544,7/26/18 10:00,7/26/18 10:05,-77.0359,38.890431,44357
SCZMLZMEEJKY5,835544,7/26/18 10:20,7/26/18 10:25,-77.023077,38.888718,44358
SCZMLZMEEJKY5,835544,7/26/18 10:25,7/26/18 10:35,-77.020188,38.888588,44359
SCZMLZMEEJKY5,835544,7/26/18 11:00,7/26/18 11:05,-77.022688,38.889256,44360
SCZMLZMEEJKY5,835544,7/26/18 11:40,7/26/18 11:45,-77.034726,38.890521,44361
SCZMLZMEEJKY5,835544,7/26/18 11:50,7/26/18 11:55,-77.038175,38.88995,44362
SCZMLZMEEJKY5,835544,7/26/18 12:20,7/26/18 12:25,-77.048771,38.890017,44363
SCZMLZMEEJKY5,835544,7/26/18 12:55,7/26/18 13:00,-77.047785,38.888759,44364
SCZMLZMEEJKY5,835544,7/26/18 13:40,7/26/18 13:45,-77.032086,38.888574,44365
JN7GKUU5QRRJC,828668,7/26/18 12:25,7/26/18 12:30,-76.994849,38.924977,45264
JN7GKUU5QRRJC,828668,7/26/18 13:00,7/26/18 13:05,-77.001945,38.942222,45265
JN7GKUU5QRRJC,828668,7/26/18 15:40,7/26/18 15:45,-77.001843,38.942202,45266
JN7GKUU5QRRJC,828668,7/26/18 16:00,7/26/18 16:05,-76.996251,38.936521,45267
JN7GKUU5QRRJC,828668,7/26/18 16:05,7/26/18 16:10,-77.001366,38.942626,45268
JN7GKUU5QRRJC,828668,7/26/18 16:10,7/26/18 16:15,-77.000487,38.941114,45269
JN7GKUU5QRRJC,828668,7/26/18 16:45,7/26/18 16:50,-77.00202,38.941514,45270
JN7GKUU5QRRJC,828668,7/26/18 17:05,7/26/18 17:10,-77.001947,38.941416,45271
3V4UKYDF47SLD,487557,7/26/18 13:45,7/26/18 13:50,-76.995117,38.883944,45519
3V4UKYDF47SLD,487557,7/26/18 13:50,7/26/18 13:55,-76.998167,38.885229,45520
JQCGUMUB5X2DU,377329,7/26/18 13:55,7/26/18 14:00,-77.030696,38.889916,45847
JQCGUMUB5X2DU,377329,7/26/18 14:25,7/26/18 14:30,-77.036644,38.898964,45848
JQCGUMUB5X2DU,377329,7/26/18 14:55,7/26/18 15:00,-77.019953,38.893274,45849
JQCGUMUB5X2DU,377329,7/26/18 16:05,7/26/18 16:10,-77.020175,38.900115,45850
JQCGUMUB5X2DU,377329,7/26/18 19:05,7/26/18 19:10,-77.017507,38.883538,45851
JQCGUMUB5X2DU,377329,7/26/18 19:10,7/26/18 19:15,-77.013798,38.885773,45852
JQCGUMUB5X2DU,377329,7/26/18 19:30,7/26/18 19:35,-77.016018,38.883204,45853
4AL33DMIRRKZG,900098,7/26/18 8:35,7/26/18 8:40,-77.008894,38.903584,46392
4AL33DMIRRKZG,900098,7/26/18 8:45,7/26/18 8:50,-77.00804,38.913998,46393
4AL33DMIRRKZG,900098,7/26/18 11:00,7/26/18 11:05,-77.012227,38.907253,46394
4AL33DMIRRKZG,900098,7/26/18 11:10,7/26/18 11:15,-77.0155,38.897339,46395
4AL33DMIRRKZG,900098,7/26/18 11:15,7/26/18 11:20,-77.012,38.891977,46396
4AL33DMIRRKZG,900098,7/26/18 14:05,7/26/18 14:10,-77.039655,38.889529,46397
4AL33DMIRRKZG,900098,7/26/18 14:20,7/26/18 14:25,-77.026152,38.885533,46398
4AL33DMIRRKZG,900098,7/26/18 15:00,7/26/18 15:05,-77.019641,38.892504,46399
GKADHLQ5DZWNL,637558,7/26/18 9:15,7/26/18 9:20,-77.046408,38.914362,48379
GKADHLQ5DZWNL,637558,7/26/18 12:05,7/26/18 12:10,-77.043368,38.902089,48380
GKADHLQ5DZWNL,637558,7/26/18 12:10,7/26/18 12:45,-77.032328,38.897411,48381
GKADHLQ5DZWNL,637558,7/26/18 13:15,7/26/18 13:20,-77.037812,38.89874,48382
GKADHLQ5DZWNL,637558,7/26/18 14:05,7/26/18 14:10,-77.033816,38.893547,48383
GKADHLQ5DZWNL,637558,7/26/18 15:30,7/26/18 15:35,-77.03304,38.883118,48384
GKADHLQ5DZWNL,637558,7/26/18 15:35,7/26/18 15:40,-77.036553,38.882057,48385
GKADHLQ5DZWNL,637558,7/26/18 15:50,7/26/18 15:55,-77.044156,38.883887,48386
GKADHLQ5DZWNL,637558,7/26/18 15:55,7/26/18 16:00,-77.044202,38.88636,48387
GKADHLQ5DZWNL,637558,7/26/18 16:25,7/26/18 16:30,-77.030361,38.89169,48388
GKADHLQ5DZWNL,637558,7/26/18 16:50,7/26/18 16:55,-77.021415,38.894002,48389
TG4XL27WYJK4G,846723,7/26/18 8:15,7/26/18 8:20,-77.050186,38.897427,48884
TG4XL27WYJK4G,846723,7/26/18 16:10,7/26/18 16:15,-77.021782,38.878061,48885
EWWXRMN2UX62T,379166,7/26/18 8:00,7/26/18 8:05,-77.043311,38.903783,49424
EWWXRMN2UX62T,379166,7/26/18 12:45,7/26/18 12:50,-77.041626,38.91548,49425
EWWXRMN2UX62T,379166,7/26/18 12:50,7/26/18 12:55,-77.040772,38.917307,49426
EWWXRMN2UX62T,379166,7/26/18 13:10,7/26/18 13:15,-77.023719,38.916382,49427
EWWXRMN2UX62T,379166,7/26/18 15:05,7/26/18 15:10,-77.042516,38.922561,49428
EWWXRMN2UX62T,379166,7/26/18 15:25,7/26/18 15:35,-77.045343,38.915904,49429
EWWXRMN2UX62T,379166,7/26/18 17:30,7/26/18 17:35,-77.029735,38.940685,49430
73OXVLQPDJSWO,496586,7/26/18 18:30,7/26/18 18:35,-77.009167,38.915174,49556
73OXVLQPDJSWO,496586,7/26/18 19:00,7/26/18 19:05,-77.003986,38.918469,49557
73OXVLQPDJSWO,496586,7/26/18 19:25,7/26/18 19:30,-77.002023,38.930816,49558
73OXVLQPDJSWO,496586,7/26/18 19:30,7/26/18 19:35,-77.002984,38.925142,49559
TOGYY4XWWLIYB,427850,7/26/18 14:15,7/26/18 14:20,-77.011768,38.898471,51142
TOGYY4XWWLIYB,427850,7/26/18 14:20,7/26/18 14:25,-77.011597,38.896096,51143
TOGYY4XWWLIYB,427850,7/26/18 14:35,7/26/18 14:40,-77.00796,38.896344,51144
TOGYY4XWWLIYB,427850,7/26/18 15:45,7/26/18 15:50,-77.012365,38.896109,51145
TOGYY4XWWLIYB,427850,7/26/18 18:05,7/26/18 18:10,-76.98384,38.887099,51146
TOGYY4XWWLIYB,427850,7/26/18 18:55,7/26/18 19:00,-76.983457,38.887494,51147
FZ4HSPNBEYL3S,229116,7/26/18 8:20,7/26/18 8:25,-77.054729,38.897867,52201
FZ4HSPNBEYL3S,229116,7/26/18 8:40,7/26/18 8:45,-77.046382,38.896135,52202
FZ4HSPNBEYL3S,229116,7/26/18 10:05,7/26/18 10:10,-77.039837,38.899059,52203
FZ4HSPNBEYL3S,229116,7/26/18 10:20,7/26/18 10:25,-77.046783,38.895571,52204
